Remote Data: Time (s),Remote Data: Force (N)
0,0.6145253879
0.02,0.6475200396
0.04,0.6475200396
0.06,0.6475200396
0.08,0.6475200396
0.1,0.6475200396
0.12,0.6475200396
0.14,0.6145253879
0.16,0.6145253879
0.18,0.6145253879
0.2,0.6145253879
0.22,0.5815307362
0.24,0.5815307362
0.26,0.5815307362
0.28,0.6145253879
0.3,0.6145253879
0.32,0.6145253879
0.34,0.5815307362
0.36,0.5815307362
0.38,0.5815307362
0.4,0.6145253879
0.42,0.6475200396
0.44,0.6475200396
0.46,0.6475200396
0.48,0.6805146913
0.5,0.6805146913
0.52,0.6805146913
0.54,0.6805146913
0.56,0.7465039947
0.58,0.7794986464
0.6,0.7465039947
0.62,0.713509343
0.64,0.7465039947
0.66,0.7794986464
0.68,0.7794986464
0.7,0.8434257841
0.72,1.041393694
0.74,1.664167745
0.76,2.810731892
0.78,4.221253252
0.8,5.596717795
0.82,7.302128855
0.84,9.432346055
0.86,11.49863612
0.88,13.13805787
0.9,14.12171093
0.92,14.74448498
0.94,15.53017012
0.96,16.54681783
0.98,17.59646019
1,18.38214533
1.02,18.87294077
1.04,19.29980908
1.06,19.92258313
1.08,20.80725223
1.1,21.66098884
1.12,22.31675754
1.14,22.74156369
1.16,23.10244269
1.18,23.36433774
1.2,23.56230565
1.22,23.75821139
1.24,23.95411714
1.26,24.11909039
1.28,24.1850797
1.3,24.21807435
1.32,24.08609574
1.34,24.15208505
1.36,24.15208505
1.38,24.15208505
1.4,24.05310109
1.42,23.98711179
1.44,23.85719535
1.46,23.79120604
1.48,23.75821139
1.5,23.79120604
1.52,23.89019
1.54,23.85719535
1.56,23.69222209
1.58,23.56230565
1.6,23.52931099
1.62,23.39733239
1.64,23.13543734
1.66,22.74156369
1.68,22.38068468
1.7,22.02186784
1.72,21.56200489
1.74,21.13513658
1.76,20.54535718
1.78,19.59469878
1.8,18.28316137
1.82,16.64580178
1.84,14.87440142
1.86,13.26797432
1.88,11.72753651
1.9,10.84286742
1.92,10.18709871
1.94,9.368418917
1.96,8.252787257
1.98,7.10622311
2,6.450454408
2.02,6.089575405
2.04,5.794685705
2.06,5.334822747
2.08,4.910016606
2.1,4.582132255
2.12,4.384164345
2.14,4.221253252
2.16,3.99029069
2.18,3.926363552
2.2,4.023285342
2.22,4.122269297
2.24,4.089274645
2.26,4.287242555
2.28,4.384164345
2.3,4.646059393
2.32,4.877021955
2.34,5.138917002
2.36,5.466801354
2.38,5.957596798
2.4,6.580370849
2.42,7.10622311
2.44,7.498034599
2.46,7.924902906
2.48,8.384765864
2.5,8.809572004
2.52,9.071467052
2.54,9.203445659
2.56,9.302429614
2.58,9.630313965
2.6,10.02212545
2.62,10.44899376
2.64,10.84286742
2.66,11.13775711
2.68,11.36665751
2.7,11.53163077
2.72,11.53163077
2.74,11.46564147
2.76,11.53163077
2.78,11.56462542
2.8,11.59555791
2.82,11.59555791
2.84,11.43264681
2.86,11.33366286
2.88,11.20374642
2.9,11.03877316
2.92,11.03877316
2.94,10.87586207
2.96,10.64489951
2.98,10.38300446
3,10.15410406
3.02,9.991192968
3.04,9.760230406
3.06,9.368418917
3.08,8.941550611
3.1,8.580671608
3.12,8.31877656
3.14,8.089876164
3.16,7.696002509
3.18,7.10622311
3.2,6.417459756
3.22,5.662707098
3.24,5.072927699
3.26,4.582132255
3.28,4.089274645
3.3,3.499495246
3.32,2.876721195
3.34,2.352931099
3.36,1.959057445
3.38,1.7631517
3.4,1.598178442
3.42,1.402272697
3.44,1.138315484
3.46,0.9424097392
3.48,0.7794986464
3.5,0.6805146913
3.52,0.5815307362
3.54,0.5155414328
3.56,0.4186196435
3.58,0.3856249918
3.6,0.3196356884
3.62,0.3526303401
3.64,0.4186196435
3.66,0.4846089469
3.68,0.5155414328
3.7,0.5155414328
3.72,0.5815307362
3.74,0.6805146913
3.76,0.713509343
3.78,0.8124932981
3.8,0.8434257841
3.82,0.8434257841
3.84,0.8764204358
3.86,0.8764204358
3.88,0.9094150875
3.9,0.9424097392
3.92,0.9424097392
3.94,0.8764204358
3.96,0.8434257841
3.98,0.8434257841
4,0.8434257841
4.02,0.8434257841
4.04,0.8124932981
4.06,0.7794986464
4.08,0.7794986464
4.1,0.7794986464
4.12,0.713509343
4.14,0.6805146913
4.16,0.6805146913
4.18,0.6805146913
4.2,0.6805146913
4.22,0.6145253879
4.24,0.6145253879
4.26,0.5815307362
4.28,0.6145253879
4.3,0.6805146913
4.32,0.6805146913
4.34,0.6145253879
4.36,0.6805146913
4.38,0.6805146913
4.4,0.6805146913
4.42,0.713509343
4.44,0.713509343
4.46,0.713509343
4.48,0.713509343
4.5,0.713509343
4.52,0.713509343
4.54,0.713509343
4.56,0.713509343
4.58,0.6805146913
4.6,0.6145253879
4.62,0.6145253879
4.64,0.5485360845
4.66,0.5485360845
4.68,0.4516142952
4.7,0.3196356884
4.72,0.1876570816
4.74,0.02474598878
4.76,0.02474598878
4.78,-0.008248662925
4.8,0.02474598878
4.82,-0.008248662925
4.84,0.02474598878
4.86,0.02474598878
4.88,0.02474598878
4.9,0.05774064048
4.92,0.05774064048
4.94,0.09073529218
4.96,0.1237299439
4.98,0.09073529218
5,0.1237299439
5.02,0.09073529218
5.04,0.05774064048
5.06,0.02474598878
5.08,0.02474598878
5.1,-0.008248662925
5.12,0.02474598878
5.14,-0.008248662925
5.16,0.02474598878
5.18,0.02474598878
5.2,0.02474598878
5.22,0.02474598878
5.24,0.02474598878
5.26,0.02474598878
5.28,0.02474598878
5.3,-0.008248662925
5.32,-0.008248662925
5.34,-0.008248662925
5.36,-0.008248662925
5.38,-0.008248662925
5.4,0.02474598878
5.42,0.02474598878
5.44,0.02474598878
5.46,-0.008248662925
5.48,0.02474598878
5.5,0.02474598878
5.52,0.02474598878
5.54,0.02474598878
5.56,0.02474598878
5.58,0.02474598878
5.6,0.02474598878
5.62,0.02474598878
5.64,-0.008248662925
5.66,-0.008248662925
5.68,-0.008248662925
5.7,-0.008248662925
5.72,0.02474598878
5.74,0.02474598878
5.76,0.02474598878
5.78,0.02474598878
5.8,0.02474598878
5.82,-0.008248662925
5.84,0.02474598878
5.86,0.02474598878
5.88,0.02474598878
5.9,-0.008248662925
5.92,-0.008248662925
5.94,-0.008248662925
5.96,-0.008248662925
5.98,-0.008248662925
6,0.02474598878
6.02,0.02474598878
6.04,0.02474598878
6.06,0.02474598878
6.08,0.02474598878
6.1,0.02474598878
6.12,-0.008248662925
6.14,0.02474598878
6.16,-0.008248662925
6.18,-0.008248662925
6.2,-0.008248662925
6.22,-0.008248662925
6.24,-0.008248662925
6.26,-0.008248662925
6.28,-0.008248662925
6.3,-0.008248662925
6.32,-0.008248662925
6.34,0.02474598878
6.36,0.02474598878
6.38,0.02474598878
6.4,0.02474598878
6.42,-0.008248662925
6.44,-0.008248662925
6.46,-0.008248662925
6.48,-0.008248662925
6.5,0.02474598878
6.52,0.02474598878
6.54,-0.008248662925
6.56,-0.008248662925
6.58,0.02474598878
6.6,-0.04124331463
6.62,-3.023134962
6.64,-12.59570829
6.66,-14.9238934
6.68,-14.82490944
6.7,-15.08680449
6.72,-14.53001974
6.74,-9.644749125
6.76,-8.302279234
6.78,-5.842115517
6.8,-5.580220469
6.82,-5.122419677
6.84,-4.367667019
6.86,-3.515992572
6.88,-2.598328821
6.9,-1.548686464
6.92,-0.499044107
6.94,0.05774064048
6.96,0.02474598878
6.98,0.02474598878
7,-0.008248662925
7.02,-0.008248662925
7.04,0.02474598878
7.06,0.02474598878
7.08,-0.008248662925
7.1,0.02474598878
7.12,-0.008248662925
7.14,0.02474598878
7.16,-0.008248662925
7.18,-0.1711597557
7.2,-0.4351169693
7.22,-0.6640173655
7.24,-0.6970120172
7.26,-0.499044107
7.28,-0.2371490591
7.3,-0.138165104
7.32,-0.04124331463
7.34,-0.008248662925
7.36,0.02474598878
7.38,-0.008248662925
7.4,-0.008248662925
7.42,-0.008248662925
7.44,-0.008248662925
7.46,0.02474598878
7.48,-0.008248662925
7.5,0.02474598878
7.52,-0.008248662925
7.54,-0.008248662925
7.56,0.02474598878
7.58,0.02474598878
7.6,-0.008248662925
7.62,0.02474598878
7.64,0.02474598878
7.66,-0.008248662925
7.68,0.02474598878
7.7,-0.008248662925
7.72,0.02474598878
7.74,-0.008248662925
7.76,0.02474598878
7.78,0.02474598878
7.8,0.02474598878
7.82,0.02474598878
7.84,0.02474598878
7.86,0.02474598878
7.88,0.02474598878
7.9,0.02474598878
7.92,0.02474598878
7.94,0.02474598878
7.96,0.02474598878
7.98,0.02474598878
8,-0.008248662925
8.02,0.02474598878
8.04,-0.008248662925
8.06,-0.008248662925
8.08,0.02474598878
8.1,-0.008248662925
8.12,0.02474598878
8.14,-0.008248662925
8.16,-0.008248662925
8.18,-0.008248662925
8.2,-0.008248662925
8.22,0.02474598878
8.24,-0.008248662925
8.26,-0.008248662925
8.28,-0.008248662925
8.3,0.02474598878
8.32,0.02474598878
8.34,-0.008248662925
8.36,0.02474598878
8.38,-0.008248662925
8.4,-0.008248662925
8.42,0.02474598878
8.44,-0.008248662925
8.46,0.02474598878
8.48,-0.008248662925
8.5,-0.008248662925
8.52,0.02474598878
8.54,0.02474598878
8.56,0.02474598878
8.58,-0.008248662925
8.6,0.02474598878
8.62,-0.008248662925
8.64,0.02474598878
8.66,0.02474598878
8.68,0.02474598878
8.7,0.02474598878
8.72,0.02474598878
8.74,0.02474598878
8.76,0.02474598878
8.78,0.02474598878
8.8,0.02474598878
8.82,0.02474598878
8.84,0.02474598878
8.86,0.05774064048
8.88,0.02474598878
8.9,0.05774064048
8.92,0.05774064048
8.94,0.05774064048
8.96,0.05774064048
8.98,0.09073529218
9,0.05774064048
9.02,0.05774064048
9.04,0.05774064048
9.06,0.05774064048
9.08,0.05774064048
9.1,0.09073529218
9.12,0.09073529218
9.14,0.09073529218
9.16,0.09073529218
9.18,0.09073529218
9.2,0.09073529218
9.22,0.05774064048
9.24,0.09073529218
9.26,0.09073529218
9.28,0.05774064048
9.3,0.05774064048
9.32,0.09073529218
9.34,0.09073529218
9.36,0.05774064048
9.38,0.09073529218
9.4,0.09073529218
9.42,0.09073529218
9.44,0.1567245956
9.46,0.1876570816
9.48,0.1876570816
9.5,0.09073529218
9.52,0.1567245956
9.54,0.09073529218
9.56,0.1237299439
9.58,0.09073529218
9.6,0.09073529218
9.62,0.09073529218
9.64,0.09073529218
9.66,0.09073529218
9.68,0.09073529218
9.7,0.09073529218
9.72,0.09073529218
9.74,0.09073529218
9.76,0.1237299439
9.78,0.09073529218
9.8,0.09073529218
9.82,0.09073529218
9.84,0.09073529218
9.86,0.09073529218
9.88,0.09073529218
9.9,0.09073529218
9.92,0.1237299439
9.94,0.09073529218
9.96,0.05774064048
9.98,0.05774064048
10,0.05774064048